target;ROC_OTD;ROC_BSS;diff
1b5j;0.9993550656660413;0.99906191369606;-0.029315196998125348
1bxo;0.951782363977486;0.9647279549718574;1.2945590994371425
1c4v;0.9964821763602252;0.9957786116322701;-0.0703564727955075
1c84;0.9898686679174484;0.9880393996247655;-0.18292682926829285
1cx2;0.871219512195122;0.8862851782363977;1.5065666041275794
1e66;0.8533653846153846;0.7773217636022515;-7.604362101313312
1efy;0.6796435272045028;0.4926829268292683;-18.696060037523456
1eix;0.9528351052741296;0.9351156973108192;-1.7719407963310396
1eve;0.8132538193513803;0.7541543822031627;-5.909943714821764
1f4g;0.9390243902439025;0.9429643527204503;0.39399624765478203
1fgi;0.8901313320825516;0.8853846153846153;-0.47467166979362485
1fjs;0.9966979362101314;0.9939587242026267;-0.273921200750471
1fm9;0.9934709193245779;0.9913320825515948;-0.21388367729830993
1gj7;0.9682926829268292;0.9431050656660412;-2.5187617260788
1kim;0.9469043151969981;0.9272045028142589;-1.9699812382739212
1kv2;0.9487054409005629;0.9337992495309568;-1.4906191369606026
1l2i;0.9289493433395872;0.9198686679174484;-0.9080675422138862
1m17;0.9617260787992495;0.9303377110694184;-3.1388367729831113
1m2z;0.8275234521575985;0.8521388367729831;2.4615384615384595
1m4h;0.9820356472795497;0.9761491557223264;-0.5886491557223317
1o86;0.947560975609756;0.9602720450281426;1.2711069418386511
1pro;0.9910881801125704;0.9864165103189494;-0.46716697936209917
1qbo;0.9962007504690431;0.9956378986866792;-0.056285178236392674
1qhc;0.9287679799874922;0.950656660412758;2.1888680425265816
1qpe;0.9685037523452158;0.9438789868667917;-2.462476547842407
1rnt;0.9765478424015009;0.9842401500938086;0.7692307692307665
1sr7;0.8810975609756098;0.9172138836772983;3.611632270168852
1stc;0.9409568480300188;0.9316697936210131;-0.928705440900568
1uy6;0.8096935584740462;0.7873983739837398;-2.229518449030643
2aa2;0.9852720450281426;0.9790806754221388;-0.6191369606003749
2oh4;0.9187992495309568;0.926078799249531;0.7279549718574141
2qwg;0.9357410881801126;0.8966854283927455;-3.9055659787367136
2src;0.9693621013133208;0.9619136960600375;-0.7448405253283275
3ert;0.9947154471544715;0.9956848030018761;0.09693558474046515
4tmn;0.9771575984990619;0.9808630393996247;0.37054409005627953
