Ligand;Grid;Run;dG;VS
CP-10;22;3;-6.47005;-6.96945
CP-10;22;4;-4.77927;-6.21559
CP-10;22;5;-7.38093;-7.7814
CP-10;22;6;-7.35206;-7.74934
CP-10;22;7;-5.37546;-6.58363
CP-10;22;8;-5.44385;-6.49389
CP-10;22;9;-5.35073;-6.5601
CP-10;22;10;-5.38709;-6.55314
CP-10;23;1;-6.30003;-6.98767
CP-10;23;2;-6.73305;-7.10145
CP-10;23;3;-6.76497;-7.16492
CP-10;23;4;-6.63702;-7.08222
CP-10;23;5;-6.93977;-7.22962
CP-10;23;6;-6.74102;-7.19325
CP-10;23;7;-6.20468;-6.72406
CP-10;23;8;-6.64752;-7.09421
CP-10;23;9;-6.92921;-7.13957
CP-10;23;10;-6.7632;-7.17133
CP-10;24;1;-7.38736;-8.23926
CP-10;24;2;-7.01;-8.07814
CP-10;24;3;-6.78199;-7.48648
CP-10;24;4;-7.72213;-8.54699
CP-10;24;5;-6.87869;-7.63364
CP-10;24;6;-7.45262;-8.29159
CP-10;24;7;-6.68708;-7.42442
CP-10;24;8;-7.59521;-8.46682
CP-10;24;9;-7.31667;-8.2345
CP-10;24;10;-6.83757;-7.6348
CP-10;25;1;-4.36986;-4.90898
CP-10;25;2;-4.65444;-5.10076
CP-10;25;3;-3.9517;-4.95056
CP-10;25;4;-4.11023;-4.60629
CP-10;25;5;-4.59775;-5.03627
CP-10;25;6;-4.35517;-4.869
CP-10;25;7;-4.24961;-4.95338
CP-10;25;8;-4.74177;-5.15706
CP-10;25;9;-4.30956;-4.85578
CP-10;25;10;-4.36991;-4.95098
CP-10;26;1;-8.3184;-8.62294
CP-10;26;2;-6.6343;-7.6177
CP-10;26;3;-6.37052;-7.36011
CP-10;26;4;-7.92689;-8.35098
CP-10;26;5;-8.01682;-8.24275
CP-10;26;6;-8.17638;-8.3453
CP-10;26;7;-7.92772;-8.13725
CP-10;26;8;-6.60812;-7.61239
CP-10;26;9;-6.59342;-7.57362
CP-10;26;10;-7.50737;-8.02598
CP-10;27;1;-7.77492;-8.2755
CP-10;27;2;-7.05123;-8.18664
CP-10;27;3;-8.41894;-8.59884
CP-10;27;4;-7.05103;-7.9876
CP-10;27;5;-6.92813;-8.15889
CP-10;27;6;-7.06122;-8.16631
CP-10;27;7;-8.0364;-8.40568
CP-10;27;8;-8.29808;-8.61384
CP-10;27;9;-6.83491;-7.837
CP-10;27;10;-6.84467;-8.14362
CP-10;28;1;-6.42056;-7.25247
CP-10;28;2;-5.86384;-6.74905
CP-10;28;3;-5.97698;-6.72929
CP-10;28;4;-5.31899;-5.90696
CP-10;28;5;-5.52654;-6.26483
CP-10;28;6;-6.06301;-6.94035
CP-10;28;7;-5.4939;-6.53544
CP-10;28;8;-6.00215;-6.67672
CP-10;28;9;-5.74784;-6.48443
CP-10;28;10;-6.05832;-6.97358
CP-10;29;1;-8.29526;-9.00385
CP-10;29;2;-8.1744;-8.92942
CP-10;29;3;-8.512;-9.19296
CP-10;29;4;-8.13855;-8.69662
CP-10;29;5;-8.30336;-9.02961
CP-10;29;6;-8.25422;-8.96666
CP-10;29;7;-8.93231;-9.12741
CP-10;29;8;-8.80999;-8.97779
CP-10;29;9;-8.46451;-8.95143
CP-10;29;10;-8.48333;-9.05847
CP-10;3;1;-7.88911;-8.32976
CP-10;3;2;-8.12769;-8.82135
CP-10;3;3;-8.03142;-8.40455
CP-10;3;4;-7.58333;-8.26199
CP-10;3;5;-7.98996;-8.70287
CP-10;3;6;-8.14793;-8.5371
CP-10;3;7;-6.86752;-7.87129
CP-10;3;8;-7.78567;-8.20777
CP-10;3;9;-7.41597;-8.20833
CP-10;3;10;-7.99526;-8.35478
CP-10;30;1;-6.17531;-6.88537
CP-10;30;2;-6.47648;-7.16906
CP-10;30;3;-6.9982;-7.3814
CP-10;30;4;-6.6245;-7.44481
CP-10;30;5;-5.62619;-7.03677
CP-10;30;6;-6.07744;-6.94654
CP-10;30;7;-6.75562;-7.47974
CP-10;30;8;-6.51476;-7.05493
CP-10;30;9;-6.32026;-7.16348
CP-10;30;10;-6.20733;-7.11162
CP-10;31;1;-5.21182;-6.31609
CP-10;31;2;-5.19879;-6.26062
CP-10;31;3;-5.01356;-6.182
CP-10;31;4;-5.22734;-6.25573
CP-10;31;5;-5.23322;-6.27082
CP-10;31;6;-6.30623;-7.01298
CP-10;31;7;-5.18541;-6.4088
CP-10;31;8;-4.41583;-5.89677
CP-10;31;9;-5.22131;-6.32126
CP-10;31;10;-6.48248;-7.02205
CP-10;32;1;-5.78107;-6.68452
CP-10;32;2;-6.34279;-7.02177
CP-10;32;3;-6.60769;-7.18381
CP-10;32;4;-5.32166;-6.26245
CP-10;32;5;-5.60455;-6.5324
CP-10;32;6;-6.9471;-7.331
CP-10;32;7;-5.92314;-6.6141
CP-10;32;8;-6.58467;-7.17865
CP-10;32;9;-6.6898;-7.17708
CP-10;32;10;-6.62607;-7.08945
CP-10;33;1;-5.84739;-6.71189
CP-10;33;2;-5.82886;-6.67625
CP-10;33;3;-6.1116;-7.19734
CP-10;33;4;-6.30077;-7.25919
CP-10;33;5;-5.80899;-6.77225
CP-10;33;6;-5.87962;-6.72517
CP-10;33;7;-5.48458;-6.37846
CP-10;33;8;-5.75551;-6.81869
CP-10;33;9;-6.02729;-6.88739
CP-10;33;10;-5.6479799999999996;-6.54839
CP-10;34;1;-6.42803;-7.44631
CP-10;34;2;-6.28849;-7.08847
CP-10;34;3;-6.31708;-7.11409
CP-10;34;4;-6.6121;-7.42847
CP-10;34;5;-6.31693;-7.12813
CP-10;34;6;-6.49974;-7.41866
CP-10;34;7;-6.25859;-7.01402
CP-10;34;8;-6.51685;-7.4432
CP-10;34;9;-6.40141;-7.35292
CP-10;34;10;-6.46983;-7.30587
CP-10;35;1;-7.05799;-7.90386
CP-10;35;2;-6.98737;-7.84848
CP-10;35;3;-6.90388;-7.73673
CP-10;35;4;-6.76232;-7.57541
CP-10;35;5;-6.76931;-7.59937
CP-10;35;6;-6.83834;-7.81791
CP-10;35;7;-7.05247;-7.90157
CP-10;35;8;-6.74838;-7.38579
CP-10;35;9;-7.08729;-7.92495
CP-10;35;10;-6.7388;-7.58372
CP-10;36;1;-5.10594;-6.22199
CP-10;36;2;-5.32849;-6.01945
CP-10;36;3;-5.34441;-6.21393
CP-10;36;4;-5.38225;-6.2407
CP-10;36;5;-5.64986;-6.57776
CP-10;36;6;-5.31442;-6.40982
CP-10;36;7;-5.58885;-6.54311
CP-10;36;8;-5.38767;-6.22184
CP-10;36;9;-5.30644;-6.37428
CP-10;36;10;-5.15373;-6.16087
CP-10;37;1;-5.99551;-6.43663
CP-10;37;2;-4.88631;-5.68284
CP-10;37;3;-6.06173;-6.46563
CP-10;37;4;-5.97217;-6.54656
CP-10;37;5;-5.49048;-6.34513
CP-10;37;6;-5.89398;-6.43663
CP-10;37;7;-6.11643;-6.53069
CP-10;37;8;-6.17865;-6.62981
CP-10;37;9;-4.61304;-5.96173
CP-10;37;10;-5.53519;-6.61513
CP-10;38;1;-6.13891;-6.74868
CP-10;38;2;-6.31156;-6.90329
CP-10;38;3;-4.75469;-5.74395
CP-10;38;4;-5.55586;-6.25126
CP-10;38;5;-5.76744;-6.03923
CP-10;38;6;-5.80657;-6.46127
CP-10;38;7;-6.34091;-6.88519
CP-10;38;8;-6.02081;-6.67055
CP-10;38;9;-4.85689;-5.74636
CP-10;38;10;-5.86307;-6.51264
CP-10;39;1;-5.35434;-6.08077
CP-10;39;2;-4.90198;-5.87624
CP-10;39;3;-4.60585;-5.78852
CP-10;39;4;-4.70321;-5.7554
CP-10;39;5;-4.81027;-5.82578
CP-10;39;6;-5.31904;-6.09972
CP-10;39;7;-4.7218;-5.79718
CP-10;39;8;-4.8508;-5.77761
CP-10;39;9;-4.40434;-5.58188
CP-10;39;10;-5.23994;-6.12253
CP-10;4;1;-6.2408;-6.93711
CP-10;4;2;-7.04504;-7.62552
CP-10;4;3;-6.53651;-6.92767
CP-10;4;4;-6.55554;-7.29304
CP-10;4;5;-7.03046;-7.688
CP-10;4;6;-6.37389;-7.1479799999999996
CP-10;4;7;-6.82523;-7.46362
CP-10;4;8;-6.79927;-7.5271
CP-10;4;9;-6.29975;-7.23454
CP-10;4;10;-6.21581;-7.15098
CP-10;40;1;-5.47971;-6.40637
CP-10;40;2;-6.19074;-7.17878
CP-10;40;3;-5.70017;-6.67895
CP-10;40;4;-5.57237;-6.42173
CP-10;40;5;-6.01731;-6.97042
CP-10;40;6;-6.42966;-7.36161
CP-10;40;7;-5.36396;-6.12765
CP-10;40;8;-6.10081;-7.04748
CP-10;40;9;-5.43569;-6.25446
CP-10;40;10;-5.37298;-6.02754
CP-10;41;1;-5.04495;-5.65386
CP-10;41;2;-5.00626;-5.66186
CP-10;41;3;-5.17711;-6.1114
CP-10;41;4;-5.01479;-5.94443
CP-10;41;5;-5.18901;-6.13908
CP-10;41;6;-5.16075;-6.13797
CP-10;41;7;-5.02062;-5.81953
CP-10;41;8;-5.09666;-6.11635
CP-10;41;9;-5.15134;-6.11236
CP-10;41;10;-5.37831;-6.20127
CP-10;42;1;-6.59541;-7.23195
CP-10;42;2;-6.28524;-6.96071
CP-10;42;3;-7.18423;-7.7689
CP-10;42;4;-6.8018;-7.52049
CP-10;42;5;-6.49725;-7.13713
CP-10;42;6;-6.00336;-6.67178
CP-10;42;7;-6.93434;-7.46747
CP-10;42;8;-5.1475;-5.79925
CP-10;42;9;-7.03214;-7.84516
CP-10;42;10;-7.05578;-7.80233
CP-10;43;1;-4.39944;-5.86685
CP-10;43;2;-4.61495;-5.58942
CP-10;43;3;-4.57274;-5.53265
CP-10;43;4;-5.05297;-5.97499
CP-10;43;5;-4.51577;-5.80146
CP-10;43;6;-4.69089;-5.90476
CP-10;43;7;-4.72897;-6.01803
CP-10;43;8;-4.67921;-5.86432
CP-10;43;9;-4.97044;-5.96003
CP-10;43;10;-4.26697;-5.47562
CP-10;44;1;-6.27749;-7.15196
CP-10;44;2;-6.23888;-7.11846
CP-10;44;3;-6.09115;-6.82129
CP-10;44;4;-6.18374;-6.95613
CP-10;44;5;-6.10157;-7.04199
CP-10;44;6;-6.12652;-7.02514
CP-10;44;7;-6.01893;-6.73017
CP-10;44;8;-5.96134;-6.87224
CP-10;44;9;-5.65714;-6.58178
CP-10;44;10;-6.09247;-6.91261
CP-10;45;1;-6.33833;-6.95851
CP-10;45;2;-6.93932;-7.53745
CP-10;45;3;-6.39319;-7.27164
CP-10;45;4;-7.17939;-7.66649
CP-10;45;5;-7.60352;-7.96505
CP-10;45;6;-6.13365;-6.97065
CP-10;45;7;-6.96029;-7.53399
CP-10;45;8;-7.41314;-7.79528
CP-10;45;9;-7.68541;-8.04521
CP-10;45;10;-6.83099;-7.32659
CP-10;46;1;-5.74765;-7.00699
CP-10;46;2;-5.36015;-6.72847
CP-10;46;3;-5.45839;-6.82858
CP-10;46;4;-5.56773;-6.98002
CP-10;46;5;-5.57361;-6.88306
CP-10;46;6;-5.79675;-6.98617
CP-10;46;7;-5.36043;-6.71914
CP-10;46;8;-5.39969;-6.71105
CP-10;46;9;-5.60369;-6.81878
CP-10;46;10;-5.47832;-6.82763
CP-10;47;1;-5.46141;-6.36083
CP-10;47;2;-5.71573;-6.64654
CP-10;47;3;-6.13938;-6.72314
CP-10;47;4;-5.70251;-6.60921
CP-10;47;5;-6.18746;-6.80355
CP-10;47;6;-5.70004;-6.52397
CP-10;47;7;-5.7594;-6.66632
CP-10;47;8;-5.89888;-6.79947
CP-10;47;9;-5.72033;-6.60016
CP-10;47;10;-5.96061;-6.64196
CP-10;48;1;-7.17886;-8.20907
CP-10;48;2;-7.46497;-8.15214
CP-10;48;3;-7.51672;-8.16427
CP-10;48;4;-7.06478;-8.06609
CP-10;48;5;-7.66535;-8.14255
CP-10;48;6;-7.16308;-8.27845
CP-10;48;7;-7.45255;-7.87193
CP-10;48;8;-7.26284;-8.0771
CP-10;48;9;-7.27432;-8.1165
CP-10;48;10;-7.01647;-8.06857
CP-10;49;1;-6.88721;-7.49908
CP-10;49;2;-6.4779;-7.45733
CP-10;49;3;-6.86295;-7.46633
CP-10;49;4;-6.69271;-7.32702
CP-10;49;5;-6.3824;-7.02545
CP-10;49;6;-6.56481;-7.23272
CP-10;49;7;-6.25046;-7.15749
CP-10;49;8;-7.32863;-8.02156
CP-10;49;9;-6.76652;-7.44558
CP-10;49;10;-6.83005;-7.5
CP-10;5;1;-6.12401;-7.08551
CP-10;5;2;-7.36095;-7.53989
CP-10;5;3;-6.04712;-6.97032
CP-10;5;4;-5.82714;-6.61326
CP-10;5;5;-5.06499;-6.10095
CP-10;5;6;-6.11193;-7.05988
CP-10;5;7;-5.80165;-6.95138
CP-10;5;8;-5.60469;-6.64893
CP-10;5;9;-5.96648;-6.86251
CP-10;5;10;-5.9401;-6.93448
CP-10;50;1;-5.40948;-6.70531
CP-10;50;2;-6.00798;-7.12397
CP-10;50;3;-6.25415;-7.25137
CP-10;50;4;-5.22228;-6.57832
CP-10;50;5;-4.94329;-6.07936
CP-10;50;6;-5.34972;-6.66465
CP-10;50;7;-5.34704;-6.20078
CP-10;50;8;-5.82332;-7.09621
CP-10;50;9;-5.95135;-6.39318
CP-10;50;10;-5.06544;-6.3158
CP-10;6;1;-5.77894;-6.39898
CP-10;6;2;-5.91525;-6.48598
CP-10;6;3;-6.03329;-6.62746
CP-10;6;4;-4.68929;-5.96088
CP-10;6;5;-5.84475;-6.48356
CP-10;6;6;-5.25665;-5.99081
CP-10;6;7;-5.94852;-6.56896
CP-10;6;8;-5.18781;-6.29835
CP-10;6;9;-5.22176;-6.27889
CP-10;6;10;-5.40172;-6.38841
CP-10;7;1;-5.42793;-6.81621
CP-10;7;2;-5.42414;-6.72843
CP-10;7;3;-6.2659;-7.15227
CP-10;7;4;-5.44185;-6.74524
CP-10;7;5;-7.12886;-8.02752
CP-10;7;6;-6.88346;-7.04728
CP-10;7;7;-4.45279;-5.93574
CP-10;7;8;-7.2671;-7.77757
CP-10;7;9;-6.7454;-7.59257
CP-10;7;10;-6.20343;-7.02109
CP-10;8;1;-6.11707;-7.11517
CP-10;8;2;-6.06384;-7.12895
CP-10;8;3;-5.44505;-6.58516
CP-10;8;4;-5.85813;-6.73516
CP-10;8;5;-6.03885;-7.12217
CP-10;8;6;-5.86014;-6.83786
CP-10;8;7;-5.74935;-6.6345
CP-10;8;8;-6.02236;-7.03552
CP-10;8;9;-5.92236;-6.97833
CP-10;8;10;-5.96668;-6.86004
CP-10;9;1;-5.51705;-6.49141
CP-10;9;2;-6.27126;-6.86644
CP-10;9;3;-5.7766;-6.49897
CP-10;9;4;-5.81279;-6.73647
CP-10;9;5;-5.7787;-6.77326
CP-10;9;6;-5.6623;-6.69892
CP-10;9;7;-6.04998;-6.80873
CP-10;9;8;-5.80558;-6.64496
CP-10;9;9;-7.07584;-7.28776
CP-10;9;10;-5.54593;-6.58636
CP-11;0;1;-7.177;-9.04381
CP-11;0;2;-6.89759;-8.90413
CP-11;0;3;-7.02152;-8.83076
CP-11;0;4;-7.58953;-8.70241
CP-11;0;5;-7.12972;-8.84947
CP-11;0;6;-7.07728;-8.79891
CP-11;0;7;-7.85757;-9.34337
CP-11;0;8;-7.47879;-9.15895
CP-11;0;9;-7.21418;-8.81204
CP-11;0;10;-7.32405;-9.05179
CP-11;1;1;-4.72969;-6.00906
CP-11;1;2;-4.03682;-5.55533
CP-11;1;3;-4.77783;-6.03304
CP-11;1;4;-4.08141;-5.57559
CP-11;1;5;-4.04733;-5.56476
CP-11;1;6;-4.08473;-5.57237
CP-11;1;7;-4.28837;-5.67951
CP-11;1;8;-4.45226;-5.73665
CP-11;1;9;-4.7827;-6.11651
CP-11;1;10;-4.20696;-5.50551
CP-11;10;1;-6.04053;-7.6977
CP-11;10;2;-5.40503;-7.01941
CP-11;10;3;-5.79519;-7.76277
CP-11;10;4;-6.09362;-7.74456
CP-11;10;5;-5.74579;-7.77528
CP-11;10;6;-5.7588800000000004;-7.75812
CP-11;10;7;-5.64548;-7.60824
CP-11;10;8;-5.87814;-7.73908
CP-11;10;9;-5.91543;-7.74923
CP-11;10;10;-6.1295;-7.75115
CP-11;11;1;-4.17916;-5.99583
CP-11;11;2;-3.98387;-5.85101
CP-11;11;3;-4.44844;-5.78508
CP-11;11;4;-4.11092;-6.00527
CP-11;11;5;-4.29452;-5.89221
CP-11;11;6;-4.15059;-6.09874
CP-11;11;7;-4.01192;-5.99381
CP-11;11;8;-4.43507;-6.18686
CP-11;11;9;-4.66931;-6.04986
CP-11;11;10;-4.55609;-6.403
CP-11;12;1;-4.39829;-5.57941
CP-11;12;2;-4.35047;-5.4948
CP-11;12;3;-4.59496;-5.83407
CP-11;12;4;-3.77859;-5.28962
CP-11;12;5;-4.34449;-5.48742
CP-11;12;6;-4.45009;-5.58559
CP-11;12;7;-4.135;-5.55529
CP-11;12;8;-4.59332;-5.85815
CP-11;12;9;-3.69272;-5.22122
CP-11;12;10;-3.7336;-5.31532
CP-11;13;1;-3.55621;-5.12089
CP-11;13;2;-3.06104;-4.66713
CP-11;13;3;-4.24778;-5.27379
CP-11;13;4;-3.86215;-5.6791
CP-11;13;5;-2.89176;-4.89287
CP-11;13;6;-3.01469;-5.15585
CP-11;13;7;-3.65831;-5.17851
CP-11;13;8;-3.53019;-5.17282
CP-11;13;9;-4.03797;-5.17274
CP-11;13;10;-4.01575;-5.1817
CP-11;14;1;-5.7315;-7.12739
CP-11;14;2;-4.84886;-6.95584
CP-11;14;3;-4.74981;-6.92273
CP-11;14;4;-5.13715;-6.41666
CP-11;14;5;-4.86989;-6.9584
CP-11;14;6;-5.34652;-6.81161
CP-11;14;7;-5.60472;-7.22542
CP-11;14;8;-5.82515;-7.08467
CP-11;14;9;-5.09162;-6.40023
CP-11;14;10;-5.79161;-7.27483
CP-11;15;1;-5.40882;-6.82343
CP-11;15;2;-5.09329;-6.94447
CP-11;15;3;-5.72348;-7.09873
CP-11;15;4;-4.49111;-6.58231
CP-11;15;5;-4.73692;-6.62972
CP-11;15;6;-5.00164;-6.78476
CP-11;15;7;-5.12773;-6.94944
CP-11;15;8;-5.04997;-6.85315
CP-11;15;9;-4.60991;-6.47835
CP-11;15;10;-4.86432;-6.47695
CP-11;16;1;-5.68814;-7.19538
CP-11;16;2;-5.37884;-6.9545
CP-11;16;3;-6.00622;-7.46607
CP-11;16;4;-5.90802;-7.08337
CP-11;16;5;-5.63261;-7.1124
CP-11;16;6;-5.57221;-7.22117
CP-11;16;7;-5.50793;-7.08452
CP-11;16;8;-5.76617;-6.72538
CP-11;16;9;-5.91842;-7.1067
CP-11;16;10;-5.60889;-7.18142
CP-11;17;1;-6.99574;-8.15951
CP-11;17;2;-6.65196;-7.62567
CP-11;17;3;-6.69773;-7.67787
CP-11;17;4;-6.0605;-7.24657
CP-11;17;5;-6.3219900000000004;-7.86177
CP-11;17;6;-6.58127;-8.08574
CP-11;17;7;-6.28864;-7.76452
CP-11;17;8;-6.79403;-7.89315
CP-11;17;9;-6.73421;-7.69633
CP-11;17;10;-6.53392;-7.83395
CP-11;18;1;-4.41894;-6.32235
CP-11;18;2;-4.78851;-6.63258
CP-11;18;3;-4.70972;-6.35217
CP-11;18;4;-4.58168;-6.40423
CP-11;18;5;-4.45293;-6.33784
CP-11;18;6;-4.88104;-6.40963
CP-11;18;7;-4.49877;-6.35674
CP-11;18;8;-5.30233;-6.77319
CP-11;18;9;-5.36901;-6.44309
CP-11;18;10;-4.42076;-6.29922
CP-11;19;1;-5.3735;-6.60534
CP-11;19;2;-5.37631;-6.63633
CP-11;19;3;-5.46366;-6.96153
CP-11;19;4;-5.31396;-6.6654
CP-11;19;5;-5.47321;-7.06159
CP-11;19;6;-5.49404;-6.76629
CP-11;19;7;-5.22703;-6.68891
CP-11;19;8;-5.4997;-7.08424
CP-11;19;9;-5.36632;-6.5341
CP-11;19;10;-5.35282;-6.81488
CP-11;2;1;-5.65096;-7.30521
CP-11;2;2;-5.90743;-7.49138
CP-11;2;3;-5.91126;-7.47722
CP-11;2;4;-5.71715;-7.05379
CP-11;2;5;-5.92107;-7.49035
CP-11;2;6;-5.879;-7.4875
CP-11;2;7;-5.88431;-7.45119
CP-11;2;8;-6.47307;-8.03972
CP-11;2;9;-5.87157;-7.44415
CP-11;2;10;-5.51017;-7.20809
CP-11;20;1;-4.86949;-6.75937
CP-11;20;2;-4.49995;-6.30076
CP-11;20;3;-4.76569;-6.46307
CP-11;20;4;-4.80033;-6.23664
CP-11;20;5;-4.54762;-5.81508
CP-11;20;6;-4.63625;-6.55499
CP-11;20;7;-5.34911;-6.78404
CP-11;20;8;-4.61574;-6.24452
CP-11;20;9;-4.71972;-6.35881
CP-11;20;10;-4.51215;-6.04466
CP-11;21;1;-5.63636;-6.77088
CP-11;21;2;-5.54093;-6.78291
CP-11;21;3;-5.62939;-6.97602
CP-11;21;4;-5.6342;-6.89454
CP-11;21;5;-5.60041;-6.8913
CP-11;21;6;-5.65393;-6.91997
CP-11;21;7;-5.91978;-7.32215
CP-11;21;8;-5.72601;-6.92247
CP-11;21;9;-4.98416;-6.33818
CP-11;21;10;-5.85786;-7.30503
CP-11;22;1;-4.82057;-6.27498
CP-11;22;2;-4.41254;-5.90421
CP-11;22;3;-4.75196;-6.32221
CP-11;22;4;-5.04236;-6.55673
CP-11;22;5;-5.04836;-6.56816
CP-11;22;6;-4.78015;-6.29802
CP-11;22;7;-4.77525;-6.29311
CP-11;22;8;-4.70231;-6.38299
CP-11;22;9;-4.91649;-6.48558
CP-11;22;10;-4.89306;-6.45019
CP-11;23;1;-4.50905;-6.21385
CP-11;23;2;-4.88892;-6.38455
CP-11;23;3;-4.5043;-6.16474
CP-11;23;4;-4.65833;-6.40631
CP-11;23;5;-4.55519;-6.34241
CP-11;23;6;-4.9813;-6.20817
CP-11;23;7;-4.25619;-5.80817
CP-11;23;8;-4.53606;-6.18104
CP-11;23;9;-4.52808;-6.22778
CP-11;23;10;-4.03817;-6.12298
CP-11;24;1;-5.51648;-6.82
CP-11;24;2;-5.47928;-6.72043
CP-11;24;3;-5.944;-7.62335
CP-11;24;4;-6.38917;-7.70547
CP-11;24;5;-6.93169;-8.61599
CP-11;24;6;-6.70017;-8.42967
CP-11;24;7;-5.1754;-6.5104
CP-11;24;8;-6.21471;-7.83811
CP-11;24;9;-5.28058;-6.56649
CP-11;24;10;-6.48017;-7.8074
CP-11;25;1;-4.34527;-5.13997
CP-11;25;2;-4.3263;-5.11558
CP-11;25;3;-4.312;-5.10642
CP-11;25;4;-3.9806;-4.8317
CP-11;25;5;-4.28436;-5.15809
CP-11;25;6;-4.33676;-5.13374
CP-11;25;7;-4.36835;-5.23225
CP-11;25;8;-4.36814;-5.15505
CP-11;25;9;-4.32358;-5.12419
CP-11;25;10;-4.45201;-5.26783
CP-11;26;1;-5.87796;-7.151
CP-11;26;2;-5.92436;-7.57594
CP-11;26;3;-6.02646;-7.61477
CP-11;26;4;-4.97704;-6.11318
CP-11;26;5;-6.58104;-7.60702
CP-11;26;6;-6.05541;-7.48499
CP-11;26;7;-6.11448;-7.7219
CP-11;26;8;-5.93237;-7.58886
CP-11;26;9;-6.04247;-7.68133
CP-11;26;10;-4.67655;-6.22137
CP-11;27;1;-6.2286;-8.07008
CP-11;27;2;-5.83011;-7.29827
CP-11;27;3;-5.893;-7.14752
CP-11;27;4;-6.45523;-8.16729
CP-11;27;5;-5.72324;-7.36281
CP-11;27;6;-6.53072;-7.89184
CP-11;27;7;-6.02981;-7.65975
CP-11;27;8;-5.98747;-7.14193
CP-11;27;9;-6.37014;-7.68751
CP-11;27;10;-4.69654;-6.43544
CP-11;28;1;-4.84648;-6.02188
CP-11;28;2;-5.32394;-6.4583
CP-11;28;3;-4.90921;-6.3527
CP-11;28;4;-4.93721;-6.3077
CP-11;28;5;-5.12534;-6.30162
CP-11;28;6;-4.17224;-5.41554
CP-11;28;7;-5.13956;-6.24895
CP-11;28;8;-4.80997;-6.08469
CP-11;28;9;-5.22318;-6.33479
CP-11;28;10;-4.21529;-5.28571
CP-11;29;1;-6.40277;-8.10462
CP-11;29;2;-7.08797;-8.64779
CP-11;29;3;-6.39486;-7.98877
CP-11;29;4;-6.73901;-8.20425
CP-11;29;5;-6.63536;-8.38077
CP-11;29;6;-7.05092;-8.31265
CP-11;29;7;-7.28287;-8.564
CP-11;29;8;-7.16581;-8.64546
CP-11;29;9;-6.81986;-8.1972
CP-11;29;10;-6.85982;-8.27691
CP-11;3;1;-5.60982;-7.01256
CP-11;3;2;-5.2373;-6.7221
CP-11;3;3;-5.15123;-6.69253
CP-11;3;4;-5.52819;-6.9979
CP-11;3;5;-5.4559;-6.88443
CP-11;3;6;-5.41938;-7.3543
CP-11;3;7;-5.70777;-7.13709
CP-11;3;8;-5.16171;-6.6675
CP-11;3;9;-5.74964;-7.32329
CP-11;3;10;-5.5674;-6.89066
CP-11;30;1;-4.89198;-6.7258
CP-11;30;2;-5.41491;-6.68083
CP-11;30;3;-5.2251;-6.88206
CP-11;30;4;-5.02964;-6.3514099999999996
CP-11;30;5;-4.49066;-6.32122
CP-11;30;6;-5.17206;-6.56411
CP-11;30;7;-5.39043;-6.64724
CP-11;30;8;-4.21259;-6.44746
CP-11;30;9;-4.25032;-6.50815
CP-11;30;10;-4.96565;-6.37018
CP-11;31;1;-4.99201;-6.60217
CP-11;31;2;-5.12521;-6.65098
CP-11;31;3;-4.79752;-6.29967
CP-11;31;4;-5.10315;-6.70026
CP-11;31;5;-4.53781;-6.0583
CP-11;31;6;-5.06945;-6.62552
CP-11;31;7;-4.76012;-6.33913
CP-11;31;8;-4.84057;-6.32628
CP-11;31;9;-5.12447;-6.71924
CP-11;31;10;-4.88188;-6.51234
CP-11;32;1;-4.83179;-6.0865
CP-11;32;2;-4.78342;-6.02365
CP-11;32;3;-4.77904;-6.07997
CP-11;32;4;-4.71963;-6.0443
CP-11;32;5;-5.47476;-6.85846
CP-11;32;6;-4.91341;-6.24189
CP-11;32;7;-4.96558;-6.28618
CP-11;32;8;-4.60448;-5.95525
CP-11;32;9;-5.4337;-6.86002
CP-11;32;10;-5.3488;-6.71865
CP-11;33;1;-5.4499;-6.86675
CP-11;33;2;-5.03227;-6.23806
CP-11;33;3;-4.8905;-6.48958
CP-11;33;4;-5.50027;-6.98791
CP-11;33;5;-5.39119;-6.82653
CP-11;33;6;-5.0196;-6.76753
CP-11;33;7;-5.03933;-6.78637
CP-11;33;8;-5.45929;-6.76855
CP-11;33;9;-5.34463;-6.85464
CP-11;33;10;-4.82145;-6.1875
CP-11;34;1;-5.56143;-7.0668
CP-11;34;2;-6.22545;-7.59297
CP-11;34;3;-5.52548;-7.09237
CP-11;34;4;-6.38344;-7.67093
CP-11;34;5;-5.56081;-7.19949
CP-11;34;6;-5.56129;-7.15097
CP-11;34;7;-6.05331;-7.33113
CP-11;34;8;-5.61414;-7.04633
CP-11;34;9;-5.53807;-7.08622
CP-11;34;10;-5.59815;-7.13415
CP-11;35;1;-5.89601;-7.49666
CP-11;35;2;-5.53028;-6.77314
CP-11;35;3;-5.44214;-6.72577
CP-11;35;4;-5.67016;-6.85998
CP-11;35;5;-6.335;-7.6527
CP-11;35;6;-5.95148;-7.47747
CP-11;35;7;-5.49499;-6.79902
CP-11;35;8;-5.78988;-6.88194
CP-11;35;9;-5.63135;-6.88286
CP-11;35;10;-6.0849;-7.381
CP-11;36;1;-4.9041;-6.26982
CP-11;36;2;-4.63951;-6.09806
CP-11;36;3;-4.50556;-6.02979
CP-11;36;4;-4.79994;-6.25483
CP-11;36;5;-4.43298;-5.7219
CP-11;36;6;-4.88803;-6.26215
CP-11;36;7;-5.00096;-6.31986
